CHAMPION,ITEM,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
Leona,Glowing Mote,Basic,0.0337,0.4615,1.88,5.0,Locket of the Iron Solari,Plated Steelcaps,Ruby Crystal
Jarvan IV,Frozen Heart,Legendary,0.1386,0.5541,3.91,25.0,Sundered Sky,Black Cleaver,Eclipse
Seraphine,Cosmic Drive,Legendary,0.0609,0.7647,3.56,25.0,Rylai's Crystal Scepter,Lich Bane,Mejai's Soulstealer
Karma,Ionian Boots of Lucidity,Boots,0.8814,0.4821,3.12,10.0,Moonstone Renewer,Redemption,Forbidden Idol
Galio,Doran's Shield,Starter,0.0345,0.5,2.08,5.0,Hollow Radiance,Mercury's Treads,Bramble Vest
Taric,Giant's Belt,Epic,0.0592,0.3333,2.21,20.0,Bandlepipes,Kindlegem,Locket of the Iron Solari
Annie,Oracle Lens,Trinket,0.4182,0.3478,2.25,15.0,Malignance,Stormsurge,Shadowflame
Volibear,Kindlegem,Epic,0.1387,0.4805,2.0,10.0,Dusk and Dawn,Navori Flickerblade,Spectre's Cowl
Tahm Kench,Kindlegem,Epic,0.2022,0.3333,1.72,20.0,Heartsteel,Bandlepipes,Dusk and Dawn
Diana,Dusk and Dawn,Legendary,0.7811,0.5127,2.75,15.0,Riftmaker,Zhonya's Hourglass,Liandry's Torment
Varus,Phage,Epic,0.0036,0.5,1.89,10.0,Dusk and Dawn,Guinsoo's Rageblade,Nashor's Tooth
Teemo,Stealth Ward,Trinket,0.2206,0.6,1.05,5.0,Nashor's Tooth,Doran's Ring,Liandry's Torment
Cassiopeia,Sapphire Crystal,Basic,0.0169,0.25,0.83,5.0,Rod of Ages,Amplifying Tome,Rylai's Crystal Scepter
Aurelion Sol,Verdant Barrier,Epic,0.0224,0.4,3.69,30.0,Rylai's Crystal Scepter,Liandry's Torment,Blackfire Torch
Sylas,Scorchclaw Pup,Starter,0.0016,0.0,0.5,5.0,Hextech Rocketbelt,Riftmaker,
Sett,Hullbreaker,Legendary,0.1055,0.4286,1.54,25.0,Stridebreaker,Overlord's Bloodmail,Sterak's Gage
Aatrox,Spectre's Cowl,Epic,0.0063,1.0,2.36,30.0,Sundered Sky,Endless Hunger,Kindlegem
Twisted Fate,Statikk Shiv,Legendary,0.0068,0.0,1.23,10.0,Kraken Slayer,Blade of The Ruined King,Rapid Firecannon
Sejuani,Amplifying Tome,Basic,0.0119,0.0,0.91,5.0,Blasting Wand,Dusk and Dawn,Plated Steelcaps
Yone,Wit's End,Legendary,0.0266,0.6,1.86,30.0,Blade of The Ruined King,Infinity Edge,Immortal Shieldbow
Tryndamere,Elixir of Iron,Consumable,0.0194,0.0,2.7,30.0,Berserker's Greaves,Ravenous Hydra,Death's Dance
Qiyana,Caulfield's Warhammer,Epic,0.1333,0.3857,1.94,15.0,Profane Hydra,Umbral Glaive,Axiom Arc
Viktor,Luden's Companion,Legendary,0.2556,0.4638,2.46,15.0,Shadowflame,Zhonya's Hourglass,Rabadon's Deathcap
Elise,Morellonomicon,Legendary,0.003,1.0,4.2,35.0,Hextech Rocketbelt,Liandry's Torment,Mejai's Soulstealer
Karthus,Control Ward,Consumable,0.0308,0.5,1.6,10.0,Sorcerer's Shoes,Blackfire Torch,Liandry's Torment
Nasus,Protoplasm Harness,Legendary,0.1119,0.75,2.38,25.0,Trinity Force,Bandlepipes,Frozen Heart
Brand,Lost Chapter,Epic,0.0132,0.5,1.31,10.0,Fated Ashes,Liandry's Torment,Oblivion Orb
Kaisa,Scorchclaw Pup,Starter,0.0012,0.0,0.0,5.0,Dark Seal,Kraken Slayer,
Kled,Dead Man's Plate,Legendary,0.0093,0.0,1.6,20.0,Death's Dance,Titanic Hydra,
Monkey King,Mercury's Treads,Boots,0.314,0.5556,3.59,15.0,Trinity Force,Sundered Sky,Black Cleaver
Zaahen,Glowing Mote,Basic,0.0501,0.5,2.0,15.0,Trinity Force,Sundered Sky,Plated Steelcaps
Nasus,Mercury's Treads,Boots,0.1818,0.6154,2.05,15.0,Trinity Force,Spirit Visage,Frozen Heart
Zaahen,Mercury's Treads,Boots,0.3208,0.5469,2.25,20.0,Trinity Force,Stridebreaker,Sundered Sky
Caitlyn,Vampiric Scepter,Epic,0.0477,0.5833,3.04,30.0,Infinity Edge,The Collector,Lord Dominik's Regards
Rumble,Horizon Focus,Legendary,0.0095,0.6667,8.7,20.0,Liandry's Torment,Shadowflame,Morellonomicon
Syndra,Elixir of Sorcery,Consumable,0.0833,0.5319,3.04,30.0,Rabadon's Deathcap,Blackfire Torch,Cosmic Drive
Velkoz,Glowing Mote,Basic,0.0306,0.5556,2.04,15.0,Blackfire Torch,Fiendish Codex,Amplifying Tome
Aurora,Verdant Barrier,Epic,0.0091,0.5,2.56,20.0,Liandry's Torment,Blackfire Torch,Luden's Companion
Twitch,Scout's Slingshot,Epic,0.0789,0.2941,1.33,10.0,Zeal,Infinity Edge,The Collector
Zac,Sunfire Aegis,Legendary,0.7674,0.5611,4.29,15.0,Spirit Visage,Hextech Rocketbelt,Thornmail
Graves,Axiom Arc,Legendary,0.0076,0.0,1.38,30.0,Lord Dominik's Regards,The Collector,Umbral Glaive
Yasuo,Giant's Belt,Epic,0.0094,0.625,2.15,30.0,Blade of The Ruined King,Immortal Shieldbow,Warden's Mail
Gwen,Verdant Barrier,Epic,0.002,1.0,2.43,25.0,Dusk and Dawn,Nashor's Tooth,Rabadon's Deathcap
Rakan,Refillable Potion,Consumable,0.0607,0.25,2.28,5.0,Control Ward,Cloth Armor,Kindlegem
Shen,Giant's Belt,Epic,0.0815,0.4545,2.34,10.0,Titanic Hydra,Bramble Vest,Dead Man's Plate
Katarina,Long Sword,Basic,0.0568,0.2963,1.05,5.0,Kraken Slayer,Blade of The Ruined King,Plated Steelcaps
Yone,Infinity Edge,Legendary,0.3324,0.6,2.1,25.0,Blade of The Ruined King,Immortal Shieldbow,Death's Dance
Orianna,Blasting Wand,Basic,0.0204,0.125,1.7,25.0,Blighting Jewel,Blackfire Torch,Shadowflame
Yunara,Seeker's Armguard,Epic,0.0025,0.0,3.97,30.0,Infinity Edge,Fiendhunter Bolts,Kraken Slayer
Leblanc,Dark Seal,Starter,0.4615,0.4683,2.65,5.0,Luden's Companion,Sorcerer's Shoes,Shadowflame
Yone,Ruby Crystal,Basic,0.0027,0.0,0.33,15.0,Berserker's Greaves,Blade of The Ruined King,Winged Moonplate
Janna,Whispering Circlet,Legendary,0.0036,0.0,0.79,15.0,Bandlepipes,,
Aphelios,Hexdrinker,Epic,0.0014,0.0,0.91,20.0,Infinity Edge,Quicksilver Sash,The Collector
Kennen,Needlessly Large Rod,Basic,0.3441,0.5294,2.35,20.0,Sorcerer's Shoes,Hextech Rocketbelt,Shadowflame
Monkey King,Wit's End,Legendary,0.0116,1.0,3.31,25.0,Essence Reaver,Blade of The Ruined King,Death's Dance
Azir,Fated Ashes,Epic,0.0076,0.0,1.13,15.0,Nashor's Tooth,Rabadon's Deathcap,Zhonya's Hourglass
Aatrox,Quicksilver Sash,Epic,0.0021,0.0,0.88,25.0,Profane Hydra,Serylda's Grudge,Vampiric Scepter
Maokai,Sunfire Aegis,Legendary,0.0694,0.4,4.94,15.0,Kaenic Rookern,Knight's Vow,Malignance
Varus,Zhonya's Hourglass,Legendary,0.1443,0.4969,2.29,30.0,Dusk and Dawn,Nashor's Tooth,Riftmaker
Briar,Boots of Swiftness,Boots,0.0177,0.5,3.82,25.0,Black Cleaver,Blade of The Ruined King,Death's Dance
Lillia,Elixir of Iron,Consumable,0.0096,0.0,1.78,40.0,Liandry's Torment,Plated Steelcaps,Randuin's Omen
Yunara,Guinsoo's Rageblade,Legendary,0.0012,1.0,2.67,15.0,Runaan's Hurricane,,
Varus,Sorcerer's Shoes,Boots,0.0907,0.55,2.01,15.0,Dusk and Dawn,Nashor's Tooth,Riftmaker
Sivir,Caulfield's Warhammer,Epic,0.005,0.0,0.29,10.0,Sheen,,
Ahri,Liandry's Torment,Legendary,0.0946,0.6667,3.91,20.0,Blackfire Torch,Malignance,Zhonya's Hourglass
Chogath,Kindlegem,Epic,0.0711,0.4706,2.09,25.0,Chain Vest,Hextech Rocketbelt,Riftmaker
Riven,Overlord's Bloodmail,Legendary,0.0026,0.0,4.5,35.0,Axiom Arc,Black Cleaver,Death's Dance
Jax,Boots,Boots,0.0617,0.3333,1.24,10.0,Trinity Force,Dusk and Dawn,Sundered Sky
Master Yi,Boots,Boots,0.1612,0.4103,1.99,10.0,Kraken Slayer,Guinsoo's Rageblade,Blade of The Ruined King
Karthus,Zhonya's Hourglass,Legendary,0.1885,0.6939,2.71,30.0,Blackfire Torch,Shadowflame,Rabadon's Deathcap
Gwen,Hextech Alternator,Epic,0.0727,0.6111,2.52,20.0,Dusk and Dawn,Nashor's Tooth,Riftmaker
Zyra,Doran's Ring,Starter,0.1698,0.4444,2.3,5.0,Liandry's Torment,Sorcerer's Shoes,Blackfire Torch
Yuumi,Glowing Mote,Basic,0.0877,0.3333,3.04,10.0,Moonstone Renewer,Mikael's Blessing,Forbidden Idol
Gangplank,Essence Reaver,Legendary,0.9314,0.5245,1.98,15.0,Infinity Edge,Lord Dominik's Regards,The Collector
Ivern,Ionian Boots of Lucidity,Boots,0.8913,0.5061,4.16,5.0,Redemption,Moonstone Renewer,Forbidden Idol
Karthus,Blighting Jewel,Epic,0.0577,0.4,2.17,25.0,Blackfire Torch,Rabadon's Deathcap,Shadowflame
Nasus,Bramble Vest,Epic,0.028,0.5,1.1,20.0,Trinity Force,Spirit Visage,Frozen Heart
Skarner,Cloth Armor,Basic,0.1026,0.75,5.83,15.0,Kindlegem,Trinity Force,Mercury's Treads
Skarner,Control Ward,Consumable,0.1282,0.4,3.22,5.0,Bandlepipes,Heartsteel,Kindlegem
Braum,Mikael's Blessing,Legendary,0.0201,0.5385,3.85,25.0,Locket of the Iron Solari,Bandlepipes,Knight's Vow
Kayle,Rod of Ages,Legendary,0.0039,0.0,0.33,15.0,,,
Swain,Farsight Alteration,Trinket,0.3798,0.4388,2.83,15.0,Rylai's Crystal Scepter,Doran's Ring,Malignance
Mel,Mejai's Soulstealer,Legendary,0.0378,0.8889,5.59,15.0,Blackfire Torch,Rabadon's Deathcap,Shadowflame
Jarvan IV,Cloth Armor,Basic,0.1086,0.5862,4.02,20.0,Sundered Sky,Plated Steelcaps,Black Cleaver
Galio,Dark Seal,Starter,0.3362,0.5299,2.81,5.0,Doran's Ring,Hollow Radiance,Riftmaker
Poppy,Abyssal Mask,Legendary,0.0165,1.0,2.58,25.0,Dead Man's Plate,Locket of the Iron Solari,Protoplasm Harness
Fiora,Cloth Armor,Basic,0.0821,0.5217,1.38,15.0,Ravenous Hydra,Trinity Force,Boots
Nasus,Null-Magic Mantle,Basic,0.0699,0.5,2.57,20.0,Trinity Force,Ionian Boots of Lucidity,Frozen Heart
Darius,Cull,Starter,0.0036,0.0,0.2,5.0,Doran's Blade,Plated Steelcaps,Youmuu's Ghostblade
Ahri,Blasting Wand,Basic,0.0225,0.5,3.01,10.0,Malignance,Shadowflame,Aether Wisp
Zed,Lord Dominik's Regards,Legendary,0.0796,0.5614,3.12,25.0,Voltaic Cyclosword,Edge of Night,Profane Hydra
Katarina,Hextech Rocketbelt,Legendary,0.0021,1.0,2.67,25.0,Hextech Gunblade,Rabadon's Deathcap,
Bard,Tunneler,Epic,0.005,0.3333,2.83,20.0,Dusk and Dawn,Winged Moonplate,Dead Man's Plate
Garen,Mercury's Treads,Boots,0.0369,0.5556,1.37,15.0,Stridebreaker,Phantom Dancer,Black Cleaver
Naafiri,Ionian Boots of Lucidity,Boots,0.3677,0.4386,2.71,15.0,Profane Hydra,Voltaic Cyclosword,Axiom Arc
Dr Mundo,Zeke's Convergence,Legendary,0.0036,0.5,2.09,10.0,Heartsteel,Protoplasm Harness,Solstice Sleigh
Leblanc,Stealth Ward,Trinket,0.1062,0.4138,2.67,5.0,Luden's Companion,Dark Seal,Doran's Ring
Vi,Null-Magic Mantle,Basic,0.0583,0.7143,2.03,15.0,Sundered Sky,Black Cleaver,Mercury's Treads
Aurora,Fiendish Codex,Epic,0.0273,0.3333,1.54,15.0,Luden's Companion,Shadowflame,Blighting Jewel
Khazix,Rectrix,Epic,0.0083,0.4,1.77,15.0,Umbral Glaive,Serrated Dirk,Bastionbreaker
Yunara,Nashor's Tooth,Legendary,0.0025,0.5,1.08,15.0,Hextech Gunblade,,
Tristana,Cull,Starter,0.0812,0.4063,1.88,5.0,Doran's Blade,Yun Tal Wildarrows,Infinity Edge
Belveth,Mortal Reminder,Legendary,0.0074,0.0,0.91,30.0,Blade of The Ruined King,Immortal Shieldbow,Kraken Slayer
Gwen,Oblivion Orb,Epic,0.0404,0.35,1.45,20.0,Dusk and Dawn,Nashor's Tooth,Riftmaker
Lillia,Randuin's Omen,Legendary,0.0288,0.0,2.15,40.0,Liandry's Torment,Zhonya's Hourglass,Riftmaker
Jhin,Stormrazor,Legendary,0.6314,0.5162,3.16,15.0,Infinity Edge,Rapid Firecannon,Lord Dominik's Regards
Ornn,Heartsteel,Legendary,0.0211,0.1429,1.5,15.0,Thornmail,Sunfire Aegis,Frozen Heart
Yunara,Control Ward,Consumable,0.0283,0.6957,2.2,15.0,Kraken Slayer,Fiendhunter Bolts,Doran's Blade
Leblanc,Rabadon's Deathcap,Legendary,0.2564,0.5286,3.68,30.0,Luden's Companion,Shadowflame,Stormsurge
Annie,Blackfire Torch,Legendary,0.0182,1.0,3.5,15.0,Bloodletter's Curse,Liandry's Torment,
Sona,Amplifying Tome,Basic,0.093,0.5333,3.39,10.0,Echoes of Helia,Ionian Boots of Lucidity,Boots of Swiftness
Rell,Kaenic Rookern,Legendary,0.009,0.3333,2.96,30.0,Zeke's Convergence,Bandlepipes,Locket of the Iron Solari
Elise,Control Ward,Consumable,0.3934,0.5725,2.62,15.0,Sorcerer's Shoes,Stormsurge,Shadowflame
Sylas,Fiendish Codex,Epic,0.1034,0.4603,2.14,10.0,Hextech Rocketbelt,Haunting Guise,Zhonya's Hourglass
Kayn,Mortal Reminder,Legendary,0.0225,0.75,1.83,20.0,Bastionbreaker,Serpent's Fang,Umbral Glaive
Hecarim,B. F. Sword,Basic,0.0037,0.0,1.86,20.0,Black Cleaver,Eclipse,Ionian Boots of Lucidity
Seraphine,Whispering Circlet,Legendary,0.0143,0.25,1.55,15.0,Echoes of Helia,Actualizer,
Heimerdinger,Horizon Focus,Legendary,0.0169,1.0,7.5,25.0,Blackfire Torch,Mejai's Soulstealer,Rabadon's Deathcap
Annie,Luden's Companion,Legendary,0.0727,0.25,2.8,15.0,Shadowflame,Malignance,Mejai's Soulstealer
Chogath,Stealth Ward,Trinket,0.205,0.449,1.65,5.0,Hextech Rocketbelt,Doran's Ring,Riftmaker
Miss Fortune,Dagger,Basic,0.025,0.4286,2.09,10.0,The Collector,B. F. Sword,Bloodthirster
Bard,Pickaxe,Basic,0.0083,0.2,1.91,20.0,Dusk and Dawn,Serrated Dirk,Boots of Swiftness
Twitch,Youmuu's Ghostblade,Legendary,0.0023,1.0,2.88,30.0,Fiendhunter Bolts,Hexoptics C44,Infinity Edge
Heimerdinger,Dark Seal,Starter,0.2542,0.3333,1.5,5.0,Doran's Ring,Needlessly Large Rod,Rabadon's Deathcap
Darius,Null-Magic Mantle,Basic,0.0547,0.4667,1.9,10.0,Plated Steelcaps,Stridebreaker,Sterak's Gage
Thresh,Bandleglass Mirror,Epic,0.005,1.0,2.61,25.0,Bandlepipes,Knight's Vow,Locket of the Iron Solari
Lux,Stormsurge,Legendary,0.3828,0.5315,2.94,20.0,Luden's Companion,Malignance,Shadowflame
Viego,Phage,Epic,0.0011,0.0,3.2,10.0,Black Cleaver,,
Morgana,Boots of Swiftness,Boots,0.021,0.6667,2.83,5.0,Rylai's Crystal Scepter,Seeker's Armguard,
Annie,Cloth Armor,Basic,0.0182,1.0,3.0,25.0,Boots of Swiftness,Needlessly Large Rod,Redemption
Kayn,Phage,Epic,0.0281,0.6,1.82,15.0,Eclipse,Kindlegem,Death's Dance
Yunara,Executioner's Calling,Epic,0.0259,0.381,1.88,25.0,Kraken Slayer,Fiendhunter Bolts,Infinity Edge
Gragas,Cosmic Drive,Legendary,0.1524,0.5,2.44,25.0,Hextech Rocketbelt,Rod of Ages,Rabadon's Deathcap
Senna,Lord Dominik's Regards,Legendary,0.0441,0.5833,2.69,30.0,Infinity Edge,Kraken Slayer,Statikk Shiv
Seraphine,Luden's Companion,Legendary,0.0143,0.5,2.42,15.0,Shadowflame,Banshee's Veil,Blackfire Torch
Briar,Stealth Ward,Trinket,0.1239,0.7143,2.01,5.0,Titanic Hydra,Black Cleaver,Plated Steelcaps
Corki,The Collector,Legendary,0.3393,0.5833,2.71,25.0,Infinity Edge,Trinity Force,Essence Reaver
Ezreal,Serrated Dirk,Epic,0.0018,0.0,1.0,20.0,Spear of Shojin,Trinity Force,
Gwen,Mejai's Soulstealer,Legendary,0.0343,0.7647,4.27,15.0,Dusk and Dawn,Nashor's Tooth,Riftmaker
Yone,Randuin's Omen,Legendary,0.0106,0.5,2.31,30.0,Immortal Shieldbow,Blade of The Ruined King,Infinity Edge
Kalista,Quicksilver Sash,Epic,0.019,1.0,4.79,25.0,Blade of The Ruined King,Guinsoo's Rageblade,Terminus
Ryze,Haunting Guise,Epic,0.0013,0.0,1.45,15.0,Actualizer,Rabadon's Deathcap,Rod of Ages
KSante,Unending Despair,Legendary,0.1444,0.6098,2.95,20.0,Iceborn Gauntlet,"Jak'Sho, The Protean",Kaenic Rookern
Lulu,Ionian Boots of Lucidity,Boots,0.8704,0.5195,3.35,15.0,Ardent Censer,Moonstone Renewer,Redemption
Zoe,Blackfire Torch,Legendary,0.0521,0.6667,2.61,15.0,Horizon Focus,Cosmic Drive,Cryptbloom
Jhin,Pickaxe,Basic,0.1143,0.4328,2.25,15.0,Stormrazor,Cloak of Agility,B. F. Sword
Alistar,Zeke's Convergence,Legendary,0.4593,0.5753,3.06,15.0,Locket of the Iron Solari,Bandlepipes,Protoplasm Harness
Braum,Null-Magic Mantle,Basic,0.1437,0.4409,2.56,10.0,Kindlegem,Bandlepipes,Cloth Armor
Khazix,Control Ward,Consumable,0.0579,0.4857,3.37,5.0,Umbral Glaive,Edge of Night,Ionian Boots of Lucidity
Ashe,Zeal,Epic,0.0693,0.4737,2.38,15.0,Kraken Slayer,Scout's Slingshot,Yun Tal Wildarrows
Maokai,Ruby Crystal,Basic,0.2917,0.4286,2.32,5.0,Boots of Swiftness,Locket of the Iron Solari,Bandlepipes
Shaco,Aether Wisp,Epic,0.0032,0.0,2.0,20.0,Abyssal Mask,Fiendish Codex,Kindlegem
Illaoi,Doran's Blade,Starter,0.2295,0.5714,1.07,5.0,Black Cleaver,Iceborn Gauntlet,Plated Steelcaps
Xin Zhao,Chain Vest,Epic,0.0071,0.0,1.25,20.0,Black Cleaver,Executioner's Calling,Negatron Cloak
Yuumi,Redemption,Legendary,0.0994,0.4118,4.32,15.0,Moonstone Renewer,Mikael's Blessing,Dawncore
Janna,Mikael's Blessing,Legendary,0.0758,0.5714,3.1,25.0,Moonstone Renewer,Redemption,Shurelya's Battlesong
Shyvana,Fiendish Codex,Epic,0.0385,1.0,4.33,10.0,Dusk and Dawn,Haunting Guise,Spear of Shojin
Vayne,Hextech Alternator,Epic,0.0017,1.0,1.83,30.0,Experimental Hexplate,Stormrazor,Trinity Force
Udyr,Plated Steelcaps,Boots,0.3933,0.3729,2.91,15.0,Liandry's Torment,Dead Man's Plate,Spirit Visage
Leona,Stealth Ward,Trinket,0.0052,0.0,0.3,5.0,Bandlepipes,Boots,Cloth Armor
Samira,Immortal Shieldbow,Legendary,0.3349,0.7397,3.01,30.0,The Collector,Infinity Edge,Lord Dominik's Regards
Xerath,Seeker's Armguard,Epic,0.0061,1.0,2.8,25.0,Luden's Companion,Rabadon's Deathcap,
Xin Zhao,Gustwalker Hatchling,Starter,0.0143,0.0,0.77,5.0,Long Sword,Glowing Mote,Mercury's Treads
Karthus,Stealth Ward,Trinket,0.0923,0.4167,1.92,5.0,Blackfire Torch,Sorcerer's Shoes,Shadowflame
Ezreal,Farsight Alteration,Trinket,0.8007,0.4533,2.5,15.0,Doran's Blade,Ionian Boots of Lucidity,Trinity Force
Chogath,Giant's Belt,Epic,0.1004,0.4167,1.97,10.0,Riftmaker,Dead Man's Plate,Heartsteel
Rammus,Bami's Cinder,Epic,0.2078,0.4375,2.19,5.0,Thornmail,Bramble Vest,Chain Vest
Rell,Force of Nature,Legendary,0.006,0.0,2.1,30.0,Abyssal Mask,Locket of the Iron Solari,Zeke's Convergence
Udyr,Kraken Slayer,Legendary,0.0133,0.5,2.25,10.0,Dusk and Dawn,Spear of Shojin,
Anivia,Rabadon's Deathcap,Legendary,0.0947,0.3333,3.78,35.0,Rod of Ages,Zhonya's Hourglass,Malignance
Naafiri,Oracle Lens,Trinket,0.4968,0.4416,2.57,5.0,Voltaic Cyclosword,Profane Hydra,Serylda's Grudge
Nasus,Long Sword,Basic,0.049,0.4286,1.23,10.0,Ionian Boots of Lucidity,Sheen,Spirit Visage
Irelia,Doran's Shield,Starter,0.0182,0.625,1.11,5.0,Blade of The Ruined King,Hullbreaker,Tunneler
Jax,Thornmail,Legendary,0.0041,0.5,2.21,25.0,Blade of The Ruined King,Dusk and Dawn,Hextech Gunblade
Sylas,Banshee's Veil,Legendary,0.0099,0.6667,2.54,25.0,Hextech Rocketbelt,Riftmaker,Shadowflame
Nilah,Noonquiver,Epic,0.1327,0.3333,2.16,20.0,Infinity Edge,The Collector,Lord Dominik's Regards
Warwick,Kaenic Rookern,Legendary,0.015,0.5,1.28,25.0,Stridebreaker,Blade of The Ruined King,Frozen Heart
Zac,Knight's Vow,Legendary,0.0104,0.6667,3.02,20.0,Hextech Rocketbelt,Sunfire Aegis,Abyssal Mask
Janna,Farsight Alteration,Trinket,0.0054,0.6667,3.07,20.0,Boots of Swiftness,Moonstone Renewer,Shurelya's Battlesong
Fiddlesticks,Negatron Cloak,Epic,0.0045,0.0,1.22,15.0,Bandlepipes,Trailblazer,
Heimerdinger,Luden's Companion,Legendary,0.1695,0.4,1.07,15.0,Rabadon's Deathcap,Shadowflame,Rylai's Crystal Scepter
Karthus,Malignance,Legendary,0.05,0.5385,1.92,15.0,Rabadon's Deathcap,Shadowflame,Blackfire Torch
Galio,Randuin's Omen,Legendary,0.0287,0.5,2.24,30.0,Hollow Radiance,Riftmaker,Hextech Rocketbelt
Senna,Elixir of Iron,Consumable,0.0037,0.0,2.0,40.0,Bandlepipes,Boots of Swiftness,Control Ward
Sion,Youmuu's Ghostblade,Legendary,0.0408,0.6667,1.66,10.0,Bastionbreaker,Opportunity,Axiom Arc
Yunara,Tunneler,Epic,0.0012,1.0,4.5,30.0,Infinity Edge,Kraken Slayer,Lord Dominik's Regards
Ekko,Dusk and Dawn,Legendary,0.9373,0.532,3.16,15.0,Shadowflame,Rabadon's Deathcap,Zhonya's Hourglass
Warwick,Boots,Boots,0.0902,0.25,0.62,10.0,Blade of The Ruined King,Tiamat,Phage
Nasus,Essence Reaver,Legendary,0.0909,0.5385,1.49,15.0,Immortal Shieldbow,Death's Dance,Lord Dominik's Regards
Diana,Stormsurge,Legendary,0.0609,0.551,2.28,15.0,Shadowflame,Zhonya's Hourglass,Rabadon's Deathcap
Gragas,Plated Steelcaps,Boots,0.0619,0.5385,2.53,15.0,Hextech Rocketbelt,Rod of Ages,Hextech Alternator
Ahri,Archangel's Staff,Legendary,0.0023,0.0,0.25,15.0,,,
Kalista,Kraken Slayer,Legendary,0.019,1.0,3.14,25.0,Blade of The Ruined King,Terminus,Guinsoo's Rageblade
Lillia,Negatron Cloak,Epic,0.0096,0.0,3.0,35.0,Liandry's Torment,Rabadon's Deathcap,Riftmaker
Corki,Cloak of Agility,Basic,0.2054,0.4348,2.25,20.0,Trinity Force,Essence Reaver,Plated Steelcaps
Rengar,Malignance,Legendary,0.0026,0.0,0.71,25.0,,,
Orianna,Seeker's Armguard,Epic,0.0408,0.375,2.5,25.0,Luden's Companion,Rabadon's Deathcap,Shadowflame
Thresh,Bramble Vest,Epic,0.0334,0.55,2.66,20.0,Locket of the Iron Solari,Bandlepipes,Knight's Vow
Lucian,Glowing Mote,Basic,0.0109,0.2,1.13,5.0,Essence Reaver,Boots,Pickaxe
Ekko,Lost Chapter,Epic,0.0013,0.0,0.2,10.0,Kindlegem,Sheen,
Aphelios,Kaenic Rookern,Legendary,0.0043,0.6667,2.72,35.0,Infinity Edge,Mortal Reminder,Stormrazor
Kayn,Caulfield's Warhammer,Epic,0.1067,0.3158,1.75,10.0,Black Cleaver,Voltaic Cyclosword,Spear of Shojin
Viktor,Zhonya's Hourglass,Legendary,0.2704,0.5205,3.17,30.0,Blackfire Torch,Liandry's Torment,Luden's Companion
Nunu,Lost Chapter,Epic,0.005,0.0,0.57,25.0,Hextech Rocketbelt,,
Fiora,Tiamat,Epic,0.0107,0.0,0.06,10.0,Vampiric Scepter,Caulfield's Warhammer,Trinity Force
Nami,Mikael's Blessing,Legendary,0.0817,0.4773,4.49,25.0,Imperial Mandate,Moonstone Renewer,Redemption
Ezreal,Chempunk Chainsword,Legendary,0.0089,0.4,2.71,30.0,Spear of Shojin,Trinity Force,Endless Hunger
Nidalee,Refillable Potion,Consumable,0.011,0.0,1.12,5.0,Control Ward,Echoes of Helia,Boots
Rakan,Cloth Armor,Basic,0.2256,0.4038,2.82,10.0,Kindlegem,Zeke's Convergence,Ionian Boots of Lucidity
Varus,Shadowflame,Legendary,0.029,0.4063,2.5,30.0,Dusk and Dawn,Nashor's Tooth,Rabadon's Deathcap
Nami,Amplifying Tome,Basic,0.1123,0.4876,3.27,5.0,Imperial Mandate,Ionian Boots of Lucidity,Moonstone Renewer
Qiyana,Chain Vest,Epic,0.0019,1.0,2.43,30.0,Axiom Arc,Edge of Night,Profane Hydra
Kalista,Berserker's Greaves,Boots,0.1429,0.2667,1.71,10.0,Recurve Bow,Blade of The Ruined King,Guinsoo's Rageblade
Dr Mundo,Executioner's Calling,Epic,0.0036,0.5,1.17,30.0,Heartsteel,Warmog's Armor,Kindlegem
Nocturne,Mortal Reminder,Legendary,0.0242,0.0,1.2,30.0,Serpent's Fang,Axiom Arc,Hubris
Tryndamere,Winged Moonplate,Epic,0.0097,0.0,0.38,25.0,Navori Flickerblade,Ravenous Hydra,
Graves,B. F. Sword,Basic,0.1298,0.5294,2.55,25.0,The Collector,Lord Dominik's Regards,Youmuu's Ghostblade
Nami,Whispering Circlet,Legendary,0.0019,0.0,1.41,15.0,Imperial Mandate,Shurelya's Battlesong,
Ashe,Hearthbound Axe,Epic,0.0109,0.6667,0.64,10.0,Rectrix,Bandlepipes,Recurve Bow
Gwen,Needlessly Large Rod,Basic,0.2626,0.5846,2.48,20.0,Dusk and Dawn,Nashor's Tooth,Riftmaker
Nilah,B. F. Sword,Basic,0.0619,0.2857,2.27,15.0,The Collector,Immortal Shieldbow,Infinity Edge
Jax,Executioner's Calling,Epic,0.0103,0.6,1.63,15.0,Trinity Force,Death's Dance,Sundered Sky
Taric,Zeal,Epic,0.0132,0.0,2.47,25.0,Bandlepipes,Echoes of Helia,Frozen Heart
Lux,Malignance,Legendary,0.3034,0.4545,2.89,15.0,Stormsurge,Shadowflame,Rabadon's Deathcap
Darius,Sterak's Gage,Legendary,0.438,0.5333,2.77,25.0,Stridebreaker,Dead Man's Plate,Force of Nature
Shen,Iceborn Gauntlet,Legendary,0.0148,0.0,2.02,25.0,Titanic Hydra,Kaenic Rookern,Randuin's Omen
