CHAMPION,ITEM,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
Sejuani,Forbidden Idol,Epic,0.0119,1.0,2.4,25.0,Bandlepipes,Kindlegem,Rylai's Crystal Scepter
Zoe,Mejai's Soulstealer,Legendary,0.0868,0.96,6.53,20.0,Luden's Companion,Lich Bane,Rabadon's Deathcap
Leona,Rejuvenation Bead,Basic,0.0052,0.0,1.2,20.0,Bandlepipes,Plated Steelcaps,Chain Vest
Viktor,Needlessly Large Rod,Basic,0.3148,0.5647,2.73,25.0,Blackfire Torch,Liandry's Torment,Luden's Companion
Azir,Giant's Belt,Epic,0.0153,0.0,0.37,20.0,Nashor's Tooth,,
Morgana,Haunting Guise,Epic,0.0979,0.4286,2.96,15.0,Blackfire Torch,Fated Ashes,Zhonya's Hourglass
Mel,Mercury's Treads,Boots,0.0294,0.2857,1.89,15.0,Blackfire Torch,Shadowflame,Horizon Focus
Brand,Void Staff,Legendary,0.0199,0.6667,2.03,35.0,Liandry's Torment,Rylai's Crystal Scepter,Blackfire Torch
Volibear,Steel Sigil,Epic,0.0036,0.5,1.71,30.0,Dusk and Dawn,Spirit Visage,Black Cleaver
Karma,Mejai's Soulstealer,Legendary,0.0135,0.6667,5.32,25.0,Moonstone Renewer,Echoes of Helia,Malignance
Belveth,Stealth Ward,Trinket,0.0593,0.125,1.41,5.0,Kraken Slayer,Long Sword,Stridebreaker
Karthus,Sorcerer's Shoes,Boots,0.75,0.4667,2.32,15.0,Blackfire Torch,Shadowflame,Rabadon's Deathcap
Aurelion Sol,Refillable Potion,Consumable,0.0538,0.4167,2.17,5.0,Rylai's Crystal Scepter,Doran's Ring,Sorcerer's Shoes
Aurora,Lost Chapter,Epic,0.0091,0.5,1.28,10.0,Cryptbloom,Haunting Guise,Luden's Companion
Corki,"Jak'Sho, The Protean",Legendary,0.0015,1.0,1.53,35.0,Essence Reaver,Immortal Shieldbow,Infinity Edge
Renekton,Boots of Swiftness,Boots,0.0144,0.3333,0.99,25.0,Stridebreaker,Black Cleaver,Eclipse
Kog Maw,Archangel's Staff,Legendary,0.0068,1.0,1.63,20.0,,,
Jarvan IV,Mercury's Treads,Boots,0.2846,0.4803,3.62,20.0,Sundered Sky,Profane Hydra,Black Cleaver
Vi,Sundered Sky,Legendary,0.7667,0.5435,2.91,15.0,Black Cleaver,Trinity Force,Guardian Angel
Lux,Ionian Boots of Lucidity,Boots,0.1034,0.4667,2.72,15.0,Shurelya's Battlesong,Echoes of Helia,Zhonya's Hourglass
Leblanc,Farsight Alteration,Trinket,0.1026,0.4643,2.97,15.0,Luden's Companion,Shadowflame,Sorcerer's Shoes
Yasuo,Tiamat,Epic,0.0082,0.1429,0.49,20.0,Phantom Dancer,Phage,
Monkey King,Sundered Sky,Legendary,0.5756,0.5657,3.54,20.0,Trinity Force,Black Cleaver,Death's Dance
